"Ad set name","Ad ID",Age,Gender,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (INR)","Cost per result",Starts,Ends,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Messaging conversations replied","Messaging conversations started","Unique CTR (all)","Cost per lead",Leads,"Leads conversion value","Reporting starts","Reporting ends"
"New Engagement ad set",6810171527597,18-24,male,not_delivering,ad,9464,12768,1.34911243,"7-day click or 1-day view","Messaging conversations started",1,547.65,547.65,2025-09-07,Ongoing,22,24.89318182,42.89238722,0.30545113,,1,,,,,2023-07-20,2026-08-19
"Ads - Punjab",6941440448197,18-24,female,not_delivering,ad,18416,24623,1.33704387,"7-day click or 1-day view","Messaging conversations started",6,533.55,88.925,2026-05-30,Ongoing,68,7.84632353,21.66876498,0.34926695,,6,,,,,2023-07-20,2026-08-19
"Ad set",6887030430597,25-34,male,not_delivering,ad,9184,13666,1.48802265,"7-day click or 1-day view","Messaging conversations started",3,518.76,172.92,2026-03-22,Ongoing,46,11.2773913,37.95990048,0.44636324,,3,,,,,2023-07-20,2026-08-19
"New Engagement ad set - City",6830723550797,18-24,female,not_delivering,ad,11152,15912,1.42682927,"7-day click or 1-day view","Messaging conversations started",2,514.57,257.285,2025-11-18,Ongoing,56,9.18875,32.33848668,0.48391151,,2,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6612223448397,25-34,female,not_delivering,ad,4080,6402,1.56911765,"7-day click or 1-day view","Messaging conversations started",9,514.26,57.14,2025-02-16,Ongoing,18,28.57,80.32802249,0.6716651,,9,,,,,2023-07-20,2026-08-19
"Ads - Punjab",6915640775197,35-44,male,not_delivering,ad,8352,13080,1.56609195,"7-day click or 1-day view","Messaging conversations started",6,510.01,85.00166667,2026-04-27,Ongoing,42,12.14309524,38.99159021,0.4587156,,6,,,,,2023-07-20,2026-08-19
"Ads - Punjab",6941440448197,18-24,male,not_delivering,ad,20528,28495,1.38810405,"7-day click or 1-day view","Messaging conversations started",6,509.87,84.97833333,2026-05-30,Ongoing,96,5.31114583,17.89331462,0.41761713,,6,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6707055838397,25-34,male,not_delivering,ad,12136,16442,1.35481213,"7-day click or 1-day view","Messaging conversations started",4,506.19,126.5475,2025-04-18,Ongoing,61,8.29819672,30.78640068,0.55954263,,4,,,,,2023-07-20,2026-08-19
"Ad set 1",6959716531197,25-34,female,not_delivering,ad,11008,13574,1.2331032,"7-day click or 1-day view","Messaging conversations started",5,497.47,99.494,2026-06-14,Ongoing,47,10.58446809,36.64874024,0.46412259,,5,,,,,2023-07-20,2026-08-19
"ad set 1",6988775707397,35-44,male,not_delivering,ad,6816,10776,1.58098592,"7-day click or 1-day view","Messaging conversations started",5,493.59,98.718,2026-08-05,Ongoing,32,15.4246875,45.8045657,0.43615442,,5,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6769019704797,25-34,male,inactive,ad,2340,3295,1.40811966,"7-day click or 1-day view","Messaging conversations started",7,493.02,70.43142857,2025-07-15,Ongoing,19,25.94842105,149.62670713,0.81942337,,7,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6805961224197,35-44,male,not_delivering,ad,4048,6169,1.52396245,"7-day click or 1-day view","Messaging conversations started",4,491.63,122.9075,2025-09-07,Ongoing,9,54.62555556,79.69362944,0.32420165,,4,,,,,2023-07-20,2026-08-19
"Ads - Punjab",6925557264397,25-34,male,not_delivering,ad,12928,16293,1.26028775,"7-day click or 1-day view","Messaging conversations started",9,487.33,54.14777778,2026-04-27,Ongoing,66,7.38378788,29.91039097,0.50328362,,9,,,,,2023-07-20,2026-08-19
"Ad set 1",6959716531197,18-24,male,not_delivering,ad,20816,23899,1.14810723,"7-day click or 1-day view","Messaging conversations started",6,479.29,79.88166667,2026-06-14,Ongoing,105,4.56466667,20.05481401,0.49374451,,6,,,,,2023-07-20,2026-08-19
"Ad set 1",6977308709597,25-34,female,inactive,ad,8592,10976,1.27746741,"7-day click or 1-day view","Messaging conversations started",1,479.21,479.21,2026-07-01,Ongoing,43,11.1444186,43.65980321,0.49198251,,1,,,,,2023-07-20,2026-08-19
"ad set 1",6861114057597,55-64,male,not_delivering,ad,4160,7839,1.884375,"7-day click or 1-day view","Messaging conversations started",2,478.91,239.455,2026-01-31,Ongoing,37,12.94351351,61.09325169,0.84194413,,2,,,,,2023-07-20,2026-08-19
