"Ad set name","Ad ID",Age,Gender,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (INR)","Cost per result",Starts,Ends,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Messaging conversations replied","Messaging conversations started","Unique CTR (all)","Cost per lead",Leads,"Leads conversion value","Reporting starts","Reporting ends"
"Ads - City",6941448198397,35-44,male,not_delivering,ad,2848,4206,1.47682584,"7-day click or 1-day view","Messaging conversations started",3,196.14,65.38,2026-05-30,Ongoing,11,17.83090909,46.63338088,0.45173562,,3,,,,,2023-07-20,2026-08-19
LPU,6989431969797,18-24,female,not_delivering,ad,5412,6514,1.20362158,"7-day click or 1-day view","Messaging conversations started",1,195.87,195.87,2026-08-07,Ongoing,18,10.88166667,30.06908198,0.38378876,,1,,,,,2023-07-20,2026-08-19
"Ad set",6887030430597,18-24,female,not_delivering,ad,4880,6202,1.27090164,"7-day click or 1-day view",,,195.38,,2026-03-22,Ongoing,22,8.88090909,31.50274105,0.4675911,,,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6675810692397,25-34,male,not_delivering,ad,2856,4254,1.4894958,"7-day click or 1-day view","Messaging conversations started",2,191.72,95.86,2025-04-18,Ongoing,10,19.172,45.06817113,0.39962388,,2,,,,,2023-07-20,2026-08-19
"Ad Online",6915913764397,18-24,male,not_delivering,ad,4116,5747,1.3962585,"7-day click or 1-day view","Messaging conversations started",2,191.62,95.81,2026-05-01,Ongoing,19,10.08526316,33.34261354,0.41760919,,2,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6685419928797,18-24,male,not_delivering,ad,6808,8826,1.29641598,"7-day click or 1-day view",,,191.47,,2025-04-26,Ongoing,12,15.95583333,21.69385905,0.2605937,,,,,,,2023-07-20,2026-08-19
"ad set 1",6881705351597,25-34,female,not_delivering,ad,2640,3417,1.29431818,"7-day click or 1-day view","Messaging conversations started",1,190.45,190.45,2026-01-31,Ongoing,16,11.903125,55.73602575,0.55604331,,1,,,,,2023-07-20,2026-08-19
SET1,6732746421397,25-34,male,not_delivering,ad,2996,3850,1.28504673,"7-day click or 1-day view","Messaging conversations started",2,189.06,94.53,2025-05-20,Ongoing,7,27.00857143,49.10649351,0.36363636,,2,,,,,2023-07-20,2026-08-19
SET1,6734947246397,18-24,male,not_delivering,ad,6340,7962,1.25583596,"7-day click or 1-day view","Messaging conversations started",1,189,189,2025-05-19,Ongoing,19,9.94736842,23.73775433,0.28887214,,1,,,,,2023-07-20,2026-08-19
SET1,6734947246397,25-34,male,not_delivering,ad,2992,3730,1.24665775,"7-day click or 1-day view","Messaging conversations started",2,188.73,94.365,2025-05-19,Ongoing,12,15.7275,50.59785523,0.48257373,,2,,,,,2023-07-20,2026-08-19
"New Traffic ad set",6641565898597,25-34,male,not_delivering,ad,28432,39191,1.37841165,"7-day click or 1-day view","Link clicks",265,188.08,0.70973585,2025-03-29,Ongoing,265,0.70973585,4.79906101,0.73231099,,,,,,,2023-07-20,2026-08-19
"Ad set 1",6977308709597,35-44,male,inactive,ad,3328,3757,1.12890625,"7-day click or 1-day view","Messaging conversations started",1,187.83,187.83,2026-07-01,Ongoing,14,13.41642857,49.9946766,0.55895661,,1,,,,,2023-07-20,2026-08-19
SET1,6729387108797,35-44,male,not_delivering,ad,1456,2721,1.86881868,"7-day click or 1-day view",,,187.39,,2025-05-19,Ongoing,20,9.3695,68.86806321,1.10253583,,,,,,,2023-07-20,2026-08-19
LPU,6989431969797,18-24,male,not_delivering,ad,5608,6460,1.15192582,"7-day click or 1-day view","Messaging conversations started",1,186.93,186.93,2026-08-07,Ongoing,32,5.8415625,28.93653251,0.51083591,,1,,,,,2023-07-20,2026-08-19
"Ads - Punjab",6911093707997,25-34,female,inactive,ad,3568,4700,1.31726457,"7-day click or 1-day view","Messaging conversations started",3,184.88,61.62666667,2026-04-27,Ongoing,27,6.84740741,39.33617021,0.78723404,,3,,,,,2023-07-20,2026-08-19
"ad set 1",6858002122997,45-54,male,not_delivering,ad,2176,3573,1.64200368,"7-day click or 1-day view",,,183.82,,2026-01-23,Ongoing,16,11.48875,51.44696334,0.72767982,,,,,,,2023-07-20,2026-08-19
"Ad set 1",6976611088997,25-34,male,inactive,ad,5104,5542,1.08581505,"7-day click or 1-day view","Messaging conversations started",2,183.54,91.77,2026-07-01,Ongoing,13,14.11846154,33.11800794,0.34283652,,2,,,,,2023-07-20,2026-08-19
SET1,6699075335397,18-24,male,not_delivering,ad,8024,9201,1.14668495,"7-day click or 1-day view","Messaging conversations started",1,182.45,182.45,2025-05-01,Ongoing,11,16.58636364,19.82936637,0.26084121,,1,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6685419928797,25-34,female,not_delivering,ad,3704,5034,1.35907127,"7-day click or 1-day view","Messaging conversations started",1,179.55,179.55,2025-04-26,Ongoing,9,19.95,35.66746126,0.25824394,,1,,,,,2023-07-20,2026-08-19
"ad set 1",6861084796397,25-34,male,inactive,ad,2068,2902,1.4032882,"7-day click or 1-day view",,,179.4,,2026-01-31,Ongoing,11,16.30909091,61.81943487,0.44796692,,,,,,,2023-07-20,2026-08-19
"Ad Online",6915913764397,25-34,male,not_delivering,ad,2476,3547,1.4325525,"7-day click or 1-day view","Messaging conversations started",1,179.17,179.17,2026-05-01,Ongoing,11,16.28818182,50.51310967,0.39469975,,1,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6768975019797,35-44,male,not_delivering,ad,676,931,1.37721893,"7-day click or 1-day view",,,178.35,,2025-07-15,Ongoing,1,178.35,191.56820623,0.42964554,,,,,,,2023-07-20,2026-08-19
"ad set 1",6857978483197,25-34,female,not_delivering,ad,1604,2219,1.38341646,"7-day click or 1-day view","Messaging conversations started",1,176.91,176.91,2026-01-23,Ongoing,10,17.691,79.7251014,0.85624155,,1,,,,,2023-07-20,2026-08-19
"Ads - Punjab",6941440448197,35-44,male,not_delivering,ad,4752,5726,1.20496633,"7-day click or 1-day view","Messaging conversations started",1,176.58,176.58,2026-05-30,Ongoing,24,7.3575,30.83828152,0.57631855,,1,,,,,2023-07-20,2026-08-19
SET1,6700709797997,18-24,male,inactive,ad,2273,2914,1.28200616,"7-day click or 1-day view","Messaging conversations started",3,176.17,58.72333333,2025-05-01,Ongoing,8,22.02125,60.4564173,0.58339053,,3,,,,,2023-07-20,2026-08-19
"MMU MBA",6673302606997,35-44,male,not_delivering,ad,1260,1779,1.41190476,"7-day click or 1-day view","Messaging conversations started",2,175.3,87.65,2025-04-14,Ongoing,6,29.21666667,98.53850478,0.73074761,,2,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6768967611597,25-34,female,not_delivering,ad,2384,2651,1.11199664,"7-day click or 1-day view",,,173.64,,2025-07-15,Ongoing,3,57.88,65.49981139,0.30177292,,,,,,,2023-07-20,2026-08-19
"New Traffic ad set",6641565898597,18-24,male,not_delivering,ad,25680,36029,1.40299844,"7-day click or 1-day view","Link clicks",255,173.17,0.67909804,2025-03-29,Ongoing,255,0.67909804,4.80640595,0.7549474,,,,,,,2023-07-20,2026-08-19
SET1,6699075335397,18-24,female,not_delivering,ad,7392,8526,1.15340909,"7-day click or 1-day view","Messaging conversations started",1,171.23,171.23,2025-05-01,Ongoing,23,7.44478261,20.08327469,0.42223786,,1,,,,,2023-07-20,2026-08-19
"Ad set 1",6959716531197,35-44,female,not_delivering,ad,3184,3657,1.14855528,"7-day click or 1-day view",,,170.97,,2026-06-14,Ongoing,19,8.99842105,46.7514356,0.601586,,,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6931643559197,18-24,female,not_delivering,ad,3528,4349,1.23270975,"7-day click or 1-day view","Messaging conversations started",1,170.58,170.58,2026-05-20,Ongoing,22,7.75363636,39.22280984,0.62083238,,1,,,,,2023-07-20,2026-08-19
SET1,6699345237797,18-24,female,not_delivering,ad,3780,4739,1.2537037,"7-day click or 1-day view",,,168.82,,2025-05-01,Ongoing,10,16.882,35.62354927,0.52753746,,,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6810171527597,25-34,female,not_delivering,ad,2232,2659,1.19130824,"7-day click or 1-day view","Messaging conversations started",1,168.78,168.78,2025-09-07,Ongoing,4,42.195,63.4749906,0.33847311,,1,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6715699674797,25-34,male,not_delivering,ad,1716,2590,1.50932401,"7-day click or 1-day view","Messaging conversations started",2,168.05,84.025,2025-05-01,Ongoing,12,14.00416667,64.88416988,1.08108108,,2,,,,,2023-07-20,2026-08-19
"Ad Set 1",6915949742397,25-34,male,not_delivering,ad,808,1473,1.8230198,"7-day click or 1-day view","Messaging conversations started",1,168.03,168.03,2026-05-03,Ongoing,4,42.0075,114.07331976,0.74677529,,1,,,,,2023-07-20,2026-08-19
SET1,6732746421397,18-24,female,not_delivering,ad,5352,5951,1.11192078,"7-day click or 1-day view",,,167.71,,2025-05-20,Ongoing,11,15.24636364,28.18181818,0.26886238,,,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6675810692397,18-24,male,not_delivering,ad,4572,6046,1.3223972,"7-day click or 1-day view","Messaging conversations started",3,167.48,55.82666667,2025-04-18,Ongoing,8,20.935,27.70095931,0.28117764,,3,,,,,2023-07-20,2026-08-19
"Ad set 1",6882908081197,18-24,male,not_delivering,ad,5200,6320,1.21538462,"7-day click or 1-day view","Messaging conversations started",5,167.2,33.44,2026-03-15,Ongoing,40,4.18,26.4556962,0.69620253,,5,,,,,2023-07-20,2026-08-19
"Ads - HP+Jammu",6910463660997,18-24,male,not_delivering,ad,6392,7748,1.21214018,"7-day click or 1-day view","Messaging conversations started",1,166.94,166.94,2026-04-26,Ongoing,19,8.78631579,21.54620547,0.30975736,,1,,,,,2023-07-20,2026-08-19
"Ads - HP+Jammu",6915646915997,18-24,female,not_delivering,ad,6776,9308,1.37367178,"7-day click or 1-day view","Messaging conversations started",1,166.08,166.08,2026-04-26,Ongoing,37,4.48864865,17.84271594,0.48345509,,1,,,,,2023-07-20,2026-08-19
"ad set 1",6861114057597,55-64,female,not_delivering,ad,1600,3039,1.899375,"7-day click or 1-day view",,,165.8,,2026-01-31,Ongoing,11,15.07272727,54.5574202,0.62520566,,,,,,,2023-07-20,2026-08-19
"Ad Online",6915913764397,18-24,female,not_delivering,ad,2808,3844,1.36894587,"7-day click or 1-day view","Messaging conversations started",1,165.23,165.23,2026-05-01,Ongoing,7,23.60428571,42.98387097,0.26014568,,1,,,,,2023-07-20,2026-08-19
"ad set 1",6872930110397,18-24,male,inactive,ad,5868,8153,1.38940014,"7-day click or 1-day view",,,164.46,,2026-01-31,Ongoing,37,4.44486486,20.17171593,0.53967865,,,,,,,2023-07-20,2026-08-19
"Ad Online",6914899011797,18-24,male,inactive,ad,2352,2861,1.21641156,"7-day click or 1-day view","Messaging conversations started",1,164.38,164.38,2026-05-01,Ongoing,9,18.26444444,57.45543516,0.31457532,,1,,,,,2023-07-20,2026-08-19
"New Engagement ad set - City",6830713058797,18-24,male,not_delivering,ad,2018,2693,1.33448959,"7-day click or 1-day view","Messaging conversations started",2,162.91,81.455,2025-11-18,Ongoing,12,13.57583333,60.493873,0.66839955,,2,,,,,2023-07-20,2026-08-19
"MMU MBA",6671478791597,18-24,female,not_delivering,ad,5140,6535,1.27140078,"7-day click or 1-day view","Messaging conversations started",1,162.27,162.27,2025-04-12,Ongoing,7,23.18142857,24.83091048,0.19892884,,1,,,,,2023-07-20,2026-08-19
"ad set 1",6881705351597,18-24,female,not_delivering,ad,4656,5904,1.26804124,"7-day click or 1-day view","Messaging conversations started",2,160.8,80.4,2026-01-31,Ongoing,32,5.025,27.23577236,0.6097561,,2,,,,,2023-07-20,2026-08-19
"ad set 1",6861112894797,25-34,female,not_delivering,ad,2492,2954,1.18539326,"7-day click or 1-day view",,,159.78,,2026-01-31,Ongoing,12,13.315,54.08937035,0.54163846,,,,,,,2023-07-20,2026-08-19
SET1,6768966430597,18-24,female,not_delivering,ad,3952,4166,1.0541498,"7-day click or 1-day view","Messaging conversations started",1,159.24,159.24,2025-05-13,Ongoing,5,31.848,38.22371579,0.19203072,,1,,,,,2023-07-20,2026-08-19
"Ad set 1",6976611089397,18-24,male,inactive,ad,6744,7253,1.0754745,"7-day click or 1-day view","Messaging conversations started",1,158.82,158.82,2026-07-01,Ongoing,19,8.35894737,21.89714601,0.28953536,,1,,,,,2023-07-20,2026-08-19
"New Engagement ad set - 1",6832548169597,25-34,male,not_delivering,ad,342,572,1.67251462,"7-day click or 1-day view",,,157.76,,2025-11-21,Ongoing,1,157.76,275.8041958,0.17482517,,,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6834726579597,25-34,male,not_delivering,ad,1472,1898,1.28940217,"7-day click or 1-day view","Messaging conversations started",1,156.89,156.89,2025-09-07,Ongoing,7,22.41285714,82.66069547,0.42149631,,1,,,,,2023-07-20,2026-08-19
"Ad set 1",6987226895797,35-44,male,not_delivering,ad,2680,2979,1.11156716,"7-day click or 1-day view","Messaging conversations started",1,156.68,156.68,2026-08-03,Ongoing,14,11.19142857,52.59483048,0.70493454,,1,,,,,2023-07-20,2026-08-19
"ad set 1",6861112894797,18-24,female,not_delivering,ad,3404,4277,1.25646298,"7-day click or 1-day view","Messaging conversations started",1,155.2,155.2,2026-01-31,Ongoing,25,6.208,36.28711714,0.65466448,,1,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6834726579597,18-24,male,not_delivering,ad,2370,3098,1.307173,"7-day click or 1-day view",,,153.98,,2025-09-07,Ongoing,8,19.2475,49.70303422,0.35506779,,,,,,,2023-07-20,2026-08-19
SET1,6732746421397,18-24,male,not_delivering,ad,4356,5169,1.18663912,"7-day click or 1-day view",,,153.77,,2025-05-20,Ongoing,10,15.377,29.74850068,0.30953763,,,,,,,2023-07-20,2026-08-19
SET1,6768966430597,25-34,female,not_delivering,ad,2260,2339,1.03495575,"7-day click or 1-day view","Messaging conversations started",3,153.69,51.23,2025-05-13,Ongoing,6,25.615,65.70756734,0.34202651,,3,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6612225065997,18-24,female,not_delivering,ad,1876,2708,1.4434968,"7-day click or 1-day view","Messaging conversations started",3,153.49,51.16333333,2025-02-16,Ongoing,4,38.3725,56.68020679,0.22156573,,3,,,,,2023-07-20,2026-08-19
"New Engagement ad set - 1",6833677863397,25-34,male,not_delivering,ad,629,896,1.42448331,"7-day click or 1-day view","Messaging conversations started",1,152.98,152.98,2025-11-21,Ongoing,4,38.245,170.73660714,1.00446429,,1,,,,,2023-07-20,2026-08-19
"Ad set 1",6981899481397,Unknown,unknown,active,ad,81464,84917,1.04238682,"7-day click or 1-day view","Messaging conversations started",25,152.95,6.118,2026-07-01,Ongoing,567,0.26975309,1.80117055,0.77958477,,25,,,,,2023-07-20,2026-08-19
"Ads - City",6941448198397,35-44,female,not_delivering,ad,2688,3311,1.23177083,"7-day click or 1-day view","Messaging conversations started",2,151.36,75.68,2026-05-30,Ongoing,9,16.81777778,45.71428571,0.48323769,,2,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6612219196997,25-34,male,not_delivering,ad,1314,1778,1.35312024,"7-day click or 1-day view",,,150.76,,2025-02-16,Ongoing,2,75.38,84.79190101,0.16872891,,,,,,,2023-07-20,2026-08-19
"Ad set 1",6959707332797,25-34,male,not_delivering,ad,3296,3692,1.12014563,"7-day click or 1-day view",,,150.47,,2026-06-14,Ongoing,14,10.74785714,40.75568797,0.5687974,,,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6769019704797,25-34,female,inactive,ad,876,1088,1.24200913,"7-day click or 1-day view","Messaging conversations started",1,149.17,149.17,2025-07-15,Ongoing,4,37.2925,137.10477941,0.45955882,,1,,,,,2023-07-20,2026-08-19
"ad set 1",6991650447397,35-44,female,not_delivering,ad,1792,2548,1.421875,"7-day click or 1-day view",,,148.81,,2026-08-05,Ongoing,16,9.300625,58.40266876,0.66718995,,,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6790435815797,25-34,male,not_delivering,ad,826,957,1.15859564,"7-day click or 1-day view",,,147.28,,2025-07-15,Ongoing,6,24.54666667,153.89759666,1.04493208,,,,,,,2023-07-20,2026-08-19
"Ad set 1",6977308709597,35-44,female,inactive,ad,1824,2239,1.22752193,"7-day click or 1-day view",,,146.88,,2026-07-01,Ongoing,8,18.36,65.6007146,0.58061635,,,,,,,2023-07-20,2026-08-19
"ad set 1",6861114057597,65+,male,not_delivering,ad,960,2711,2.82395833,"7-day click or 1-day view","Messaging conversations started",1,145.77,145.77,2026-01-31,Ongoing,8,18.22125,53.76982663,0.59018812,,1,,,,,2023-07-20,2026-08-19
"Ad set",6887030430597,35-44,male,not_delivering,ad,2248,3227,1.43549822,"7-day click or 1-day view","Messaging conversations started",1,145.25,145.25,2026-03-22,Ongoing,15,9.68333333,45.01084599,0.65075922,,1,,,,,2023-07-20,2026-08-19
SET1,6699359479597,25-34,female,not_delivering,ad,836,1339,1.60167464,"7-day click or 1-day view",,,145.1,,2025-05-01,Ongoing,3,48.36666667,108.36445108,0.44809559,,,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6612225065997,35-44,male,not_delivering,ad,436,894,2.05045872,"7-day click or 1-day view","Messaging conversations started",4,143.99,35.9975,2025-02-16,Ongoing,10,14.399,161.06263982,1.56599553,,4,,,,,2023-07-20,2026-08-19
"Ad set 1",6882908081197,35-44,male,not_delivering,ad,2856,3167,1.10889356,"7-day click or 1-day view","Messaging conversations started",1,143.66,143.66,2026-03-15,Ongoing,16,8.97875,45.36154089,0.6630881,,1,,,,,2023-07-20,2026-08-19
"Ad set 1",6959700316597,25-34,male,not_delivering,ad,3056,3375,1.10438482,"7-day click or 1-day view","Messaging conversations started",2,142.42,71.21,2026-06-14,Ongoing,9,15.82444444,42.19851852,0.41481481,,2,,,,,2023-07-20,2026-08-19
"Ad set",6924471431597,18-24,male,not_delivering,ad,3898,4910,1.25962032,"7-day click or 1-day view","Messaging conversations started",1,141.62,141.62,2026-05-13,Ongoing,22,6.43727273,28.84317719,0.54989817,,1,,,,,2023-07-20,2026-08-19
"Ad set 1",6882908081197,18-24,female,not_delivering,ad,3888,4632,1.19135802,"7-day click or 1-day view","Messaging conversations started",2,140.13,70.065,2026-03-15,Ongoing,27,5.19,30.25259067,0.75561313,,2,,,,,2023-07-20,2026-08-19
"ad set 1",6861084796397,18-24,male,inactive,ad,2060,3231,1.5684466,"7-day click or 1-day view",,,139.65,,2026-01-31,Ongoing,16,8.728125,43.22191272,0.58805323,,,,,,,2023-07-20,2026-08-19
"ad set 1",6861113921397,25-34,female,inactive,ad,1652,2141,1.29600484,"7-day click or 1-day view","Messaging conversations started",1,138.12,138.12,2026-01-31,Ongoing,12,11.51,64.51191032,0.56048575,,1,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6612223448397,35-44,female,not_delivering,ad,792,1265,1.59722222,"7-day click or 1-day view","Messaging conversations started",3,137.27,45.75666667,2025-02-16,Ongoing,7,19.61,108.51383399,0.63241107,,3,,,,,2023-07-20,2026-08-19
SET1,6805961553997,25-34,female,not_delivering,ad,2624,3230,1.23094512,"7-day click or 1-day view","Messaging conversations started",3,136.2,45.4,2025-05-13,Ongoing,6,22.7,42.16718266,0.24767802,,3,,,,,2023-07-20,2026-08-19
SET1,6668282296197,25-34,male,not_delivering,ad,1532,2272,1.48302872,"7-day click or 1-day view","Messaging conversations started",1,135.81,135.81,2025-04-09,Ongoing,5,27.162,59.77552817,0.35211268,,1,,,,,2023-07-20,2026-08-19
"Ad set 1",6976611089397,25-34,male,inactive,ad,4360,4585,1.0516055,"7-day click or 1-day view",,,134.97,,2026-07-01,Ongoing,11,12.27,29.43729553,0.32715376,,,,,,,2023-07-20,2026-08-19
AMITY,6986105760397,25-34,male,not_delivering,ad,1840,2399,1.30380435,"7-day click or 1-day view",,,134.74,,2026-07-31,Ongoing,5,26.948,56.16506878,0.29178825,,,,,,,2023-07-20,2026-08-19
"ad set 1",6857977080197,25-34,male,not_delivering,ad,1338,1745,1.30418535,"7-day click or 1-day view",,,134.58,,2026-01-23,Ongoing,4,33.645,77.12320917,0.34383954,,,,,,,2023-07-20,2026-08-19
SET1,6715762376997,35-44,female,archived,ad,1792,4734,2.64174107,"7-day click or 1-day view",,,133.62,,2025-05-13,Ongoing,12,11.135,28.22560203,0.27460921,,,,,,,2023-07-20,2026-08-19
"ad set 1",6872930110397,25-34,male,inactive,ad,2844,3868,1.36005626,"7-day click or 1-day view","Messaging conversations started",2,133.21,66.605,2026-01-31,Ongoing,17,7.83588235,34.43898656,0.56876939,,2,,,,,2023-07-20,2026-08-19
"MMU MBA",6673302606997,25-34,female,not_delivering,ad,1596,2045,1.28132832,"7-day click or 1-day view",,,132.9,,2025-04-14,Ongoing,4,33.225,64.98777506,0.53789731,,,,,,,2023-07-20,2026-08-19
SET1,6732746421397,25-34,female,not_delivering,ad,2712,3224,1.18879056,"7-day click or 1-day view",,,131.68,,2025-05-20,Ongoing,7,18.81142857,40.84367246,0.24813896,,,,,,,2023-07-20,2026-08-19
SET1,6699075335397,25-34,male,not_delivering,ad,3488,3956,1.13417431,"7-day click or 1-day view",,,130.2,,2025-05-01,Ongoing,4,32.55,32.91203236,0.22750253,,,,,,,2023-07-20,2026-08-19
"Ad Online",6915913764397,25-34,female,not_delivering,ad,1380,1964,1.42318841,"7-day click or 1-day view","Messaging conversations started",4,129.81,32.4525,2026-05-01,Ongoing,10,12.981,66.09470468,0.66191446,,4,,,,,2023-07-20,2026-08-19
"New Engagement ad set - 1",6832547839397,18-24,male,not_delivering,ad,442,572,1.29411765,"7-day click or 1-day view","Messaging conversations started",1,128.99,128.99,2025-11-21,Ongoing,5,25.798,225.50699301,1.57342657,,1,,,,,2023-07-20,2026-08-19
"New Engagement ad set - 1",6833677863397,35-44,male,not_delivering,ad,294,415,1.41156463,"7-day click or 1-day view","Messaging conversations started",1,128.74,128.74,2025-11-21,Ongoing,5,25.748,310.21686747,1.44578313,,1,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6612224241597,25-34,male,not_delivering,ad,464,672,1.44827586,"7-day click or 1-day view","Messaging conversations started",2,128.6,64.3,2025-02-16,Ongoing,4,32.15,191.36904762,0.89285714,,2,,,,,2023-07-20,2026-08-19
"Ad Set 1",6915949742397,18-24,male,not_delivering,ad,568,1032,1.81690141,"7-day click or 1-day view","Messaging conversations started",1,128.22,128.22,2026-05-03,Ongoing,3,42.74,124.24418605,0.7751938,,1,,,,,2023-07-20,2026-08-19
AMITY,6986108114197,18-24,female,not_delivering,ad,2880,3974,1.37986111,"7-day click or 1-day view",,,128.18,,2026-07-31,Ongoing,24,5.34083333,32.25465526,0.60392552,,,,,,,2023-07-20,2026-08-19
"ad set 1",6881705351597,35-44,male,not_delivering,ad,2192,2844,1.29744526,"7-day click or 1-day view",,,127.51,,2026-01-31,Ongoing,14,9.10785714,44.8347398,0.66807314,,,,,,,2023-07-20,2026-08-19
"Ad set 1",6986709879597,25-34,male,active,ad,3192,3754,1.17606516,"7-day click or 1-day view","Messaging conversations started",2,126.83,63.415,2026-07-01,Ongoing,11,11.53,33.78529568,0.34629728,,2,,,,,2023-07-20,2026-08-19
LPU,6989431969797,25-34,female,not_delivering,ad,1944,2308,1.1872428,"7-day click or 1-day view",,,126.18,,2026-08-07,Ongoing,8,15.7725,54.67071057,0.51993068,,,,,,,2023-07-20,2026-08-19
"ad set 1",6861113921397,18-24,female,inactive,ad,2320,3235,1.39439655,"7-day click or 1-day view","Messaging conversations started",1,125.99,125.99,2026-01-31,Ongoing,12,10.49916667,38.94590417,0.37094281,,1,,,,,2023-07-20,2026-08-19
SET1,6700709797997,25-34,male,inactive,ad,782,1068,1.3657289,"7-day click or 1-day view","Messaging conversations started",1,124.26,124.26,2025-05-01,Ongoing,9,13.80666667,116.34831461,1.12359551,,1,,,,,2023-07-20,2026-08-19
"Ad set 1",6959707332797,25-34,female,not_delivering,ad,2344,2540,1.08361775,"7-day click or 1-day view","Messaging conversations started",1,121.06,121.06,2026-06-14,Ongoing,8,15.1325,47.66141732,0.39370079,,1,,,,,2023-07-20,2026-08-19
"Ad set 1",6976611088997,18-24,male,inactive,ad,4244,4826,1.13713478,"7-day click or 1-day view","Messaging conversations started",1,120.58,120.58,2026-07-01,Ongoing,8,15.0725,24.98549523,0.20721094,,1,,,,,2023-07-20,2026-08-19
SET1,6734947246397,18-24,female,not_delivering,ad,3936,4924,1.25101626,"7-day click or 1-day view","Messaging conversations started",1,119.49,119.49,2025-05-19,Ongoing,6,19.915,24.26685621,0.18277823,,1,,,,,2023-07-20,2026-08-19
"New Engagement ad set - 1",6832548474197,18-24,male,not_delivering,ad,503,628,1.24850895,"7-day click or 1-day view","Messaging conversations started",1,118.89,118.89,2025-11-21,Ongoing,5,23.778,189.31528662,0.63694268,,1,,,,,2023-07-20,2026-08-19
"Ad set 1",6882908081197,35-44,female,not_delivering,ad,2144,2826,1.31809701,"7-day click or 1-day view","Messaging conversations started",1,118.54,118.54,2026-03-15,Ongoing,13,9.11846154,41.94621373,0.8492569,,1,,,,,2023-07-20,2026-08-19
SET1,6723531168397,35-44,male,not_delivering,ad,520,1034,1.98846154,"7-day click or 1-day view",,,117.88,,2025-05-19,Ongoing,4,29.47,114.00386847,0.87040619,,,,,,,2023-07-20,2026-08-19
"Ad set 1",6976611088997,25-34,female,inactive,ad,2536,2774,1.09384858,"7-day click or 1-day view","Messaging conversations started",1,117.12,117.12,2026-07-01,Ongoing,7,16.73142857,42.22062004,0.43258832,,1,,,,,2023-07-20,2026-08-19
"Ad set 1",6959700316597,25-34,female,not_delivering,ad,1880,2036,1.08297872,"7-day click or 1-day view",,,116.77,,2026-06-14,Ongoing,7,16.68142857,57.35265226,0.49115914,,,,,,,2023-07-20,2026-08-19
AMITY,6986108114197,25-34,female,not_delivering,ad,916,1404,1.53275109,"7-day click or 1-day view",,,116.05,,2026-07-31,Ongoing,11,10.55,82.65669516,0.85470085,,,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6675810692397,18-24,female,not_delivering,ad,2552,3331,1.30525078,"7-day click or 1-day view","Messaging conversations started",1,115.93,115.93,2025-04-18,Ongoing,11,10.53909091,34.80336235,0.51035725,,1,,,,,2023-07-20,2026-08-19
"Ads - Punjab",6941440448197,35-44,female,not_delivering,ad,2576,3459,1.3427795,"7-day click or 1-day view",,,115.62,,2026-05-30,Ongoing,8,14.4525,33.42584562,0.2891009,,,,,,,2023-07-20,2026-08-19
"Ads - HP+Jammu",6915646915997,25-34,female,not_delivering,ad,2656,3904,1.46987952,"7-day click or 1-day view",,,115.05,,2026-04-26,Ongoing,13,8.85,29.46977459,0.56352459,,,,,,,2023-07-20,2026-08-19
"New Engagement ad set - 1",6833677863397,45-54,male,not_delivering,ad,181,325,1.79558011,"7-day click or 1-day view",,,114.75,,2025-11-21,Ongoing,1,114.75,353.07692308,0.61538462,,,,,,,2023-07-20,2026-08-19
"Ad Online",6915643995197,18-24,male,not_delivering,ad,5800,7237,1.24775862,"7-day click or 1-day view",,,113.83,,2026-05-01,Ongoing,45,2.52955556,15.72889319,0.67707614,,,,,,,2023-07-20,2026-08-19
"Ad set",6924471431597,18-24,female,not_delivering,ad,2198,2867,1.30436761,"7-day click or 1-day view","Messaging conversations started",1,113.64,113.64,2026-05-13,Ongoing,15,7.576,39.63725148,0.55807464,,1,,,,,2023-07-20,2026-08-19
"ad set 1",6861112894797,35-44,male,not_delivering,ad,1908,2209,1.15775681,"7-day click or 1-day view","Messaging conversations started",2,113.53,56.765,2026-01-31,Ongoing,7,16.21857143,51.39429606,0.49796288,,2,,,,,2023-07-20,2026-08-19
